year,race,driver,FP1_lap,grid_position,FP1_fastest_lap,FP1_best_gap
2024,bahrain,Ricciardo,23,14,92.869,0
2024,bahrain,Norris,24,7,93.18299999999999,0.314
2024,bahrain,Piastri,20,8,93.193,0.324
2024,bahrain,Tsunoda,25,11,93.251,0.382
2024,bahrain,Alonso,22,6,93.30199999999999,0.433
2024,bahrain,Verstappen,26,1,93.38499999999999,0.516
2024,bahrain,Leclerc,24,2,90.03,0.371
2024,bahrain,Hamilton,26,9,90.747,1.088
2024,bahrain,Bottas,25,16,91.04599999999999,1.387
2024,bahrain,Sainz,25,4,79.561,0.997
2024,bahrain,Perez,21,5,80.014,1.450
2024,bahrain,Albon,20,13,91.23,1.174
2024,bahrain,Stroll,17,12,92.055,1.999
2024,bahrain,Zhou,18,17,92.638,2.582
2024,bahrain,Sargeant,21,18,92.803,2.747
2024,bahrain,Ocon,24,19,96.69,0.388
2024,bahrain,Gasly,23,20,97.118,0.816
2024,bahrain,Magnussen,23,15,97.213,0.911
2024,bahrain,Hulkenberg,19,10,97.229,0.927
2024,saudi-arabia,Verstappen,25,1,97.238,0.936
2024,saudi-arabia,Alonso,24,4,97.53,1.228
2024,saudi-arabia,Perez,24,3,97.626,1.324
2024,saudi-arabia,Russell,27,7,98.006,1.704
2024,saudi-arabia,Leclerc,20,2,98.09,1.788
2024,saudi-arabia,Norris,19,6,98.28399999999999,1.982
2024,saudi-arabia,Hamilton,23,8,98.286,1.984
2024,saudi-arabia,Stroll,21,10,98.63,2.328
2024,saudi-arabia,Albon,21,11,98.806,2.504
2024,saudi-arabia,Bottas,24,15,98.839,2.537
2024,saudi-arabia,Ricciardo,22,13,98.936,2.634
2024,saudi-arabia,Ocon,21,16,99.27600000000001,2.974
2024,saudi-arabia,Piastri,24,5,88.7,0.105
2024,saudi-arabia,Tsunoda,24,9,88.711,0.116
2024,saudi-arabia,Gasly,26,17,88.78399999999999,0.189
2024,saudi-arabia,Zhou,25,19,88.81700000000001,0.222
2024,saudi-arabia,Hulkenberg,23,14,88.868,0.273
2024,saudi-arabia,Magnussen,24,12,89.012,0.417
2024,australia,Norris,25,3,89.056,0.461
2024,australia,Verstappen,23,1,89.163,0.568
2024,australia,Russell,27,7,89.175,0.580
2024,australia,Leclerc,27,4,89.178,0.583
2024,australia,Tsunoda,26,8,89.189,0.594
2024,australia,Perez,25,6,89.314,0.719
2024,australia,Stroll,24,9,89.393,0.798
2024,australia,Sainz,24,2,89.445,0.850
2024,australia,Hamilton,21,11,89.495,0.900
2024,australia,Piastri,23,5,89.636,1.041
