Season,Grand Prix,Driver,Constructor,FP1 Time,FP1 Gap,FP1 Laps,FP2 Time,FP2 Gap,FP2 Laps,FP3 Time,FP3 Gap,FP3 Laps,Grid Position
2023,bahrain-grand-prix,Pérez,Red Bull,92.758,0.0,21.0,91.078,0.171,26.0,92.446,0.106,12.0,2.0
2023,bahrain-grand-prix,Alonso,Aston Martin,93.196,0.438,22.0,90.907,0.0,25.0,92.34,0.0,13.0,5.0
2023,bahrain-grand-prix,Verstappen,Red Bull,93.375,0.617,21.0,91.076,0.169,24.0,92.345,0.005,13.0,1.0
2023,bahrain-grand-prix,Norris,McLaren,94.165,1.407,21.0,91.57,0.663,27.0,93.202,0.862,16.0,11.0
2023,bahrain-grand-prix,Leclerc,Ferrari,94.257,1.499,17.0,91.367,0.46,26.0,92.624,0.284,21.0,3.0
2023,bahrain-grand-prix,Stroll,Aston Martin,94.298,1.54,17.0,91.45,0.543,28.0,92.919,0.579,16.0,8.0
2023,bahrain-grand-prix,Magnussen,Haas,94.402,1.644,20.0,92.11,1.203,18.0,93.381,1.041,21.0,17.0
2023,bahrain-grand-prix,Zhou,Alfa Romeo,94.575,1.817,18.0,91.586,0.679,27.0,93.18,0.84,13.0,13.0
2023,bahrain-grand-prix,Bottas,Alfa Romeo,94.689,1.931,20.0,91.793,0.886,28.0,93.629,1.289,14.0,12.0
2023,bahrain-grand-prix,Hamilton,Mercedes,94.917,2.159,13.0,91.543,0.636,27.0,92.555,0.215,17.0,7.0
2023,bahrain-grand-prix,Russell,Mercedes,94.966,2.208,20.0,91.882,0.975,25.0,92.731,0.391,17.0,6.0
2023,bahrain-grand-prix,Piastri,McLaren,94.997,2.239,24.0,92.024,1.117,27.0,93.045,0.705,12.0,18.0
2023,bahrain-grand-prix,Tsunoda,AlphaTauri,95.015,2.257,20.0,92.525,1.618,27.0,93.475,1.135,15.0,14.0
2023,bahrain-grand-prix,Hülkenberg,Haas,95.043,2.285,22.0,91.376,0.469,25.0,93.423,1.083,23.0,10.0
2023,bahrain-grand-prix,Ocon,Alpine,95.105,2.347,20.0,91.608,0.701,25.0,93.116,0.776,16.0,9.0
2023,bahrain-grand-prix,de,AlphaTauri,95.402,2.644,25.0,92.605,1.698,28.0,94.082,1.742,18.0,19.0
2023,bahrain-grand-prix,Gasly,Alpine,95.455,2.697,22.0,91.475,0.568,24.0,93.064,0.724,13.0,20.0
2023,bahrain-grand-prix,Sargeant,Williams,95.749,2.991,24.0,92.749,1.842,29.0,93.665,1.325,15.0,16.0
2023,bahrain-grand-prix,Albon,Williams,96.018,3.26,15.0,92.44,1.533,28.0,93.882,1.542,15.0,15.0
2023,bahrain-grand-prix,Sainz,Ferrari,96.072,3.314,21.0,91.956,1.049,28.0,92.945,0.605,21.0,4.0
2023,saudi-arabian-grand-prix,Verstappen,Red Bull,89.617,0.0,18.0,89.603,0.0,29.0,88.485,0.0,20.0,15.0
2023,saudi-arabian-grand-prix,Pérez,Red Bull,90.1,0.483,20.0,89.902,0.299,26.0,89.098,0.613,15.0,1.0
2023,saudi-arabian-grand-prix,Alonso,Aston Martin,90.315,0.698,22.0,89.811,0.208,26.0,89.483,0.998,21.0,3.0
2023,saudi-arabian-grand-prix,Stroll,Aston Martin,90.577,0.96,20.0,90.11,0.507,27.0,89.509,1.024,21.0,6.0
2023,saudi-arabian-grand-prix,Russell,Mercedes,90.771,1.154,26.0,90.07,0.467,27.0,89.811,1.326,19.0,4.0
2023,saudi-arabian-grand-prix,Hamilton,Mercedes,90.787,1.17,26.0,90.599,0.996,27.0,89.568,1.083,18.0,8.0
2023,saudi-arabian-grand-prix,Sainz,Ferrari,90.924,1.307,23.0,90.592,0.989,29.0,89.761,1.276,16.0,5.0
